,index,name,p_raw,p_corr,es,gene,index_name
26983,Glutamatergic,38182,2.1925564450005003e-50,2.648608185560604e-47,0.8313019519180003,Tbp,Glutamatergic_Tbp
27180,Glutamatergic,38945,2.6759755290775283e-72,3.232578439125654e-69,1.0917440026050853,Hnrnpll,Glutamatergic_Hnrnpll
27688,Glutamatergic,41826,4.6288426009662925e-12,5.5916418619672815e-09,0.337848987793512,Brd8,Glutamatergic_Brd8
27843,Glutamatergic,42430,4.8270768862081656e-17,5.831108878539464e-14,0.4744225643665163,Pias2,Glutamatergic_Pias2
28339,Glutamatergic,44753,1.3094404963846967e-274,1.5818041196327138e-271,2.0552872112133214,Chrm1,Glutamatergic_Chrm1
28655,Glutamatergic,46366,7.6835786763111435e-84,9.281763040983862e-81,1.0960234568268223,Lnpk,Glutamatergic_Lnpk
28668,Glutamatergic,46579,1.0340396701062548e-31,1.2491199214883558e-28,0.7348326175827298,Cacfd1,Glutamatergic_Cacfd1
28727,Glutamatergic,46810,1.815416086860671e-06,0.0021930226329276905,0.25096793802815043,Ctsa,Glutamatergic_Ctsa
28837,Glutamatergic,47243,1.741177584555445e-140,2.1033425221429778e-137,1.6501210850695065,Mindy3,Glutamatergic_Mindy3
29059,Glutamatergic,48215,5.8827973677122065e-68,7.1064192201963454e-65,1.0454049806310999,Dnajc10,Glutamatergic_Dnajc10
29505,Glutamatergic,50164,1.860467141277469e-80,2.247444306663183e-77,0.9172994014922224,Scai,Glutamatergic_Scai
29525,Glutamatergic,50204,1.3454816981907565e-10,1.6253418914144337e-07,0.17491780319022854,Rabgap1,Glutamatergic_Rabgap1
29565,Glutamatergic,50365,2.102614729212535e-07,0.00025399585928887424,0.2877942197357939,Etl4,Glutamatergic_Etl4
29601,Glutamatergic,50535,8.911083758104645e-267,1.0764589179790412e-263,1.8606907159860393,Lzts3,Glutamatergic_Lzts3
29644,Glutamatergic,50744,7.742878226015848e-19,9.353396897027144e-16,0.4698803621766867,Ythdf1,Glutamatergic_Ythdf1
29807,Glutamatergic,51444,1.0401457586232371e-83,1.2564960764168704e-80,0.8778541570011926,Ubr3,Glutamatergic_Ubr3
29989,Glutamatergic,52300,9.29105850610517e-29,1.1223598675375046e-25,0.485963614957063,Casc4,Glutamatergic_Casc4
30079,Glutamatergic,52579,2.1197951306197192e-165,2.5607125177886207e-162,1.2263712699723128,D430041D05Rik,Glutamatergic_D430041D05Rik
30306,Glutamatergic,54938,1.479026013377639e-10,1.786663424160188e-07,0.36863902195940224,Mrpl24,Glutamatergic_Mrpl24
30437,Glutamatergic,55351,4.3302012979329893e-35,5.230883167903051e-32,0.37038502336636503,Slc7a11,Glutamatergic_Slc7a11
30585,Glutamatergic,55859,1.8910195422216995e-15,2.284351607003813e-12,0.4322652772882458,4933434E20Rik,Glutamatergic_4933434E20Rik
30981,Glutamatergic,57319,6.500988580982103e-07,0.0007853194205826381,0.22693006319006104,Rbm8a,Glutamatergic_Rbm8a
31130,Glutamatergic,58053,4.3832771726070116e-94,5.29499882450927e-91,1.000817949838325,Zfp697,Glutamatergic_Zfp697
31330,Glutamatergic,59746,3.3360897319503685e-48,4.0299963961960453e-45,0.8585546657287519,Nfib,Glutamatergic_Nfib
31417,Glutamatergic,60077,0.0,2.2250738585072014e-308,2.7258330299884,Epha7,Glutamatergic_Epha7
31499,Glutamatergic,60381,1.1147052133811058e-17,1.3465638977643759e-14,0.3391096682960004,Nfx1,Glutamatergic_Nfx1
31644,Glutamatergic,60954,2.661008270347229e-44,3.2144979905794526e-41,0.853500825151607,Ift74,Glutamatergic_Ift74
31708,Glutamatergic,61274,8.170488317380969e-42,9.86994988739621e-39,0.586072710751333,Srsf10,Glutamatergic_Srsf10
31739,Glutamatergic,61531,2.926035824867661e-12,3.5346512764401347e-09,0.3097901032182504,Hp1bp3,Glutamatergic_Hp1bp3
32003,Glutamatergic,62724,3.4540034571754e-185,4.1724361762678834e-182,1.945156206659898,Sigmar1,Glutamatergic_Sigmar1
32168,Glutamatergic,63378,7.200089570506373e-10,8.697708201171698e-07,0.29223999437820325,Chchd7,Glutamatergic_Chchd7
32369,Glutamatergic,64333,6.324686318658493e-16,7.640221072939459e-13,0.40355162305593506,Hnrnpr,Glutamatergic_Hnrnpr
32386,Glutamatergic,64379,5.237078503482502e-07,0.0006326390832206863,0.26464192349145677,Cdc26,Glutamatergic_Cdc26
32435,Glutamatergic,64818,0.0,2.2250738585072014e-308,3.0205127455605556,Gm20878,Glutamatergic_Gm20878
32458,Glutamatergic,65469,4.371658322106917e-87,5.280963253105156e-84,1.1306125711660662,Krit1,Glutamatergic_Krit1
32780,Glutamatergic,66784,6.035604665755141e-25,7.29101043623221e-22,0.6320997653028391,Nrbp1,Glutamatergic_Nrbp1
33398,Glutamatergic,69511,5.089082726329471e-27,6.147611933406001e-24,0.47773567028374764,Srrm3,Glutamatergic_Srrm3
33772,Glutamatergic,70806,5.379970162773286e-39,6.49900395663013e-36,0.6731289981319284,Gtf2i,Glutamatergic_Gtf2i
34187,Glutamatergic,73530,3.284090754221516e-16,3.967181631099591e-13,0.44418050112797625,Tra2a,Glutamatergic_Tra2a
34198,Glutamatergic,73550,3.444023017599202e-07,0.00041603798052598356,0.20173628334390914,Luc7l2,Glutamatergic_Luc7l2
34492,Glutamatergic,74824,2.860117761108359e-08,3.455022255418898e-05,0.22717165598117983,Ing4,Glutamatergic_Ing4
34701,Glutamatergic,75719,3.9009735989678675e-141,4.712376107553184e-138,1.615568956764215,Zfp239,Glutamatergic_Zfp239
35077,Glutamatergic,78208,5.013511450036212e-07,0.0006056321831643743,0.21018087001209818,Gm38393,Glutamatergic_Gm38393
35377,Glutamatergic,79685,3.5634916829580045e-92,4.3046979530132694e-89,1.164223832572373,Chid1,Glutamatergic_Chid1
35652,Glutamatergic,81100,2.0543638545487455e-51,2.4816715362948847e-48,0.8342272530993231,Phkg2,Glutamatergic_Phkg2
36234,Glutamatergic,84841,2.03853912943326e-23,2.462555268355378e-20,0.5945334760374243,Ap2a1,Glutamatergic_Ap2a1
36304,Glutamatergic,85167,2.4323621729636128e-08,2.9382935049400444e-05,0.27053913220301906,Snrnp70,Glutamatergic_Snrnp70
36565,Glutamatergic,87616,9.709332420123204e-126,1.172887356350883e-122,1.0771271903386417,Crtc1,Glutamatergic_Crtc1
36894,Glutamatergic,88952,1.9510111416149724e-75,2.3568214590708864e-72,0.5258980560343209,Cdh11,Glutamatergic_Cdh11
37351,Glutamatergic,91028,3.9093512085081615e-25,4.722496259877859e-22,0.6624333277426775,Kxd1,Glutamatergic_Kxd1
38143,Glutamatergic,95306,4.746625621617229e-55,5.733923750913613e-52,0.981328204937725,Snap91,Glutamatergic_Snap91
38418,Glutamatergic,96387,0.0,2.2250738585072014e-308,3.3146377258399147,Dpy19l1,Glutamatergic_Dpy19l1
38706,Glutamatergic,98988,1.2070276924965501e-08,1.4580894525358325e-05,0.31532051730153343,Tenm1,Glutamatergic_Tenm1
38719,Glutamatergic,99015,3.395846443886068e-33,4.1021825042143706e-30,0.7424966345622583,Lamp2,Glutamatergic_Lamp2
38858,Glutamatergic,99511,1.763826451658735e-95,2.130702353603752e-92,1.4208755364855867,Porcn,Glutamatergic_Porcn
39179,Glutamatergic,100869,8.434702409844963e-59,1.0189120511092715e-55,0.9174646977102974,Il1rapl1,Glutamatergic_Il1rapl1
39394,Low Quality,635,8.300551836221465e-06,0.008964595983119182,1.6372426704622476,Stau2,Low Quality_Stau2
40604,Low Quality,6629,1.4344366478489583e-06,0.001549191579676875,1.2876246032379517,Hivep2,Low Quality_Hivep2
41870,Low Quality,13428,1.2331719362289087e-06,0.0013318256911272214,2.3019979008467164,Osbp2,Low Quality_Osbp2
42054,Low Quality,14162,8.496745105569504e-08,9.176484714015064e-05,0.9692343773580712,Ube2g1,Low Quality_Ube2g1
42225,Low Quality,14830,4.450797289629999e-08,4.806861072800399e-05,1.4505986022096993,Baiap2,Low Quality_Baiap2
43717,Low Quality,22930,7.319390482805348e-06,0.007904941721429776,0.7125327730477418,Hnrnpk,Low Quality_Hnrnpk
43736,Low Quality,22953,3.4836474363646935e-06,0.003762339231273869,1.8381669386580377,Hnrnpk,Low Quality_Hnrnpk
45239,Low Quality,31539,6.056148112584425e-06,0.006540639961591179,1.3779643765958864,Nell2,Low Quality_Nell2
45349,Low Quality,31898,2.7055794903778808e-06,0.0029220258496081113,2.088846517615028,Ly6e,Low Quality_Ly6e
45351,Low Quality,31900,7.488569549156298e-06,0.008087655113088801,2.3648355670921237,Ly6e,Low Quality_Ly6e
48316,Low Quality,46607,5.425660769332977e-06,0.005859713630879615,1.1287748650283014,Surf1,Low Quality_Surf1
48851,Low Quality,48824,7.053810592761157e-06,0.00761811544018205,3.9857448730801073,Lamp5,Low Quality_Lamp5
53681,Low Quality,72835,2.790848129817243e-06,0.003014115980202622,0.7517590411966957,Syn2,Low Quality_Syn2
54761,Low Quality,78424,2.5658790549575143e-06,0.0027711493793541155,1.3988947703081465,Clptm1,Low Quality_Clptm1
54977,Low Quality,79556,5.371769049436233e-06,0.005801510573391132,0.7851481194963519,Psmd13,Low Quality_Psmd13
56882,Low Quality,90485,7.964095555337626e-06,0.008601223199764637,0.7490434736214153,Tusc3,Low Quality_Tusc3
60178,Non-Neuronal,5338,3.978220828506779e-05,0.002665407955099542,1.0570953540366608,Eloc,Non-Neuronal_Eloc
68797,Non-Neuronal,50204,9.266844697317969e-05,0.006208785947203039,0.5070933153159107,Rabgap1,Non-Neuronal_Rabgap1
68923,Non-Neuronal,50763,4.02465704402544e-06,0.0002696520219497045,0.5474879389016836,Dido1,Non-Neuronal_Dido1
70039,Non-Neuronal,56609,8.953567131197883e-06,0.0005998889977902582,0.4626843392694169,Eif4e,Non-Neuronal_Eif4e
73214,Non-Neuronal,72496,2.278988902125074e-06,0.00015269225644237995,0.3493450265910285,Brpf1,Non-Neuronal_Brpf1
