,index,name,p_raw,p_corr,es,cluster,chromosome
20298,F,Gm10062-201_ENSMUST00000072180,6.080617020448832e-18,1.3784758785357504e-14,0.7717928323529133,Vip,5
20558,F,Ppm1g-202_ENSMUST00000200740,4.032418882472586e-24,9.141493606565353e-21,0.6704918018022525,Vip,5
23001,F,Vps29-201_ENSMUST00000111729,6.7372397497094575e-09,1.527332251259134e-05,1.1058500265815567,Vip,5
24469,F,Pomp-204_ENSMUST00000202222,1.0925730640490754e-09,2.476863136199254e-06,0.7055702862960174,Vip,5
24769,F,Ndufa4-201_ENSMUST00000031637,3.119490315004198e-13,7.071884544114516e-10,0.6216343905044397,Vip,6
24770,F,Ndufa4-204_ENSMUST00000204714,6.276141287652311e-07,0.0014228012299107788,0.16876343127825244,Vip,6
25609,F,Npy-201_ENSMUST00000031843,1.6644161826867186e-06,0.003773231486150791,1.5286217902334864,Vip,6
25635,F,Cycs-202_ENSMUST00000161401,3.4508287630304295e-07,0.0007823028805789984,0.21835927041965153,Vip,6
25702,F,Prr15-201_ENSMUST00000059138,1.0651377876463484e-16,2.414667364594272e-13,0.46123389216358324,Vip,6
26584,F,Sec61a1-208_ENSMUST00000145421,1.69545863192619e-06,0.0038436047185766726,0.35984546077184465,Vip,6
27028,F,Brpf1-206_ENSMUST00000131594,5.208237714657905e-29,1.180707489912947e-25,0.6172600759313436,Vip,6
27666,F,Gapdh-206_ENSMUST00000147954,8.449984629934663e-12,1.915611515606188e-08,0.535138413837446,Vip,6
