,index,gene_name,p_raw,p_bonferroni,mean_log1p,mean_norm
92,L56_NP,Tac2,3.355640740588905e-101,4.261663740547909e-99,6.684355474796022,1421.6704737200985
93,L56_NP,Calb1,2.821201328178961e-18,3.5829256867872803e-16,6.653187229685868,1952.531619160088
94,L5_IT,Cdh12,0.0,0.0,4.881120457428094,7926.813962540711
95,L5_IT,Tenm3,0.0,0.0,5.620546275838911,10128.173393414283
96,L5_IT,Tac2,0.0,0.0,6.684355474796022,1421.6704737200985
97,L5_IT,Syndig1,0.0,0.0,5.54614907175225,9563.14195599889
98,L5_IT,Sulf2,0.0,0.0,6.626607869072078,26066.169358077266
99,L5_IT,St6galnac5,0.0,0.0,4.163645592793094,6075.004166789016
100,L5_IT,Slc30a3,0.0,0.0,5.943245743965583,24946.69162543843
101,L5_IT,Slc17a7,0.0,0.0,9.454276672469922,21605.366464883777
102,L5_IT,Shisa9,0.0,0.0,5.8917551769122705,9289.695942429238
103,L5_IT,Satb2,0.0,0.0,6.536729156108682,23088.1897280012
104,L5_IT,Rgs6,0.0,0.0,6.249597821665058,12216.760958061705
105,L5_IT,Rab3b,0.0,0.0,7.582379701437063,2689.8519317664422
106,L5_IT,Ptprt,0.0,0.0,6.993373561602484,20665.325454992864
107,L5_IT,Ptprk,0.0,0.0,5.910188869560698,11589.004628684517
108,L5_IT,Pou3f3,0.0,0.0,8.140773456901536,22706.056324804278
109,L5_IT,Penk,0.0,0.0,6.170282774826138,1135.986996490147
110,L5_IT,Ntng2,0.0,0.0,4.471516876492884,5156.324102700621
111,L5_IT,Nr4a1,0.0,0.0,5.5259176207376,10076.506618546135
112,L5_IT,Igfbp5,0.0,0.0,7.364940309429239,24251.72331341935
113,L5_IT,Grm8,0.0,0.0,4.5018438978453705,6481.566212336048
114,L5_IT,Gad2,0.0,0.0,8.11323845882878,4278.066672777633
115,L5_IT,Wipf3,0.0,0.0,7.091402494733177,28773.638538092193
116,L5_IT,Vip,8.014233272614446e-109,1.0178076256220346e-106,7.769146904840319,2975.5534469317986
117,L5_IT,Pvalb,1.4223412117882679e-64,1.8063733389711002e-62,6.756693069771963,1748.4185394562287
118,L5_PT,Ano4,0.0,0.0,4.378298228485031,6027.865579845883
119,L5_PT,Tmem163,0.0,0.0,1.605682279375566,1590.7688374967863
120,L5_PT,Syndig1,0.0,0.0,5.54614907175225,9563.14195599889
121,L5_PT,Sulf2,0.0,0.0,6.626607869072078,26066.169358077266
122,L5_PT,Spon1,0.0,0.0,3.6771356750776194,7795.842431595372
123,L5_PT,Slc17a7,0.0,0.0,9.454276672469922,21605.366464883777
124,L5_PT,Satb2,0.0,0.0,6.536729156108682,23088.1897280012
125,L5_PT,Rab3b,0.0,0.0,7.582379701437063,2689.8519317664422
126,L5_PT,Prss12,0.0,0.0,3.6020674957985,4335.82904327861
127,L5_PT,Pou3f3,0.0,0.0,8.140773456901536,22706.056324804278
128,L5_PT,Pou3f1,0.0,0.0,3.0482718162758844,2685.155257555176
129,L5_PT,Parm1,0.0,0.0,4.2954257701209695,7901.860248358235
130,L5_PT,Tox,0.0,0.0,3.5527134531840363,4267.525010833027
131,L5_PT,Nr4a1,0.0,0.0,5.5259176207376,10076.506618546135
132,L5_PT,Lamp5,0.0,0.0,5.098040867988953,2440.896210148816
133,L5_PT,Kcng1,0.0,0.0,3.0020933600482635,4324.6339582515975
134,L5_PT,Iqgap2,0.0,0.0,4.2216671950592195,5480.160910286402
135,L5_PT,Igfbp4,0.0,0.0,4.47428050551336,7424.547296883245
136,L5_PT,Grm8,0.0,0.0,4.5018438978453705,6481.566212336048
137,L5_PT,Fezf2,0.0,0.0,3.095570054559137,4383.213142950214
138,L5_PT,Fam84b,0.0,0.0,2.1643901925379967,1924.9366708674268
139,L5_PT,Epha7,0.0,0.0,5.164673535487128,6529.231694724461
140,L5_PT,Dscaml1,0.0,0.0,4.996016097354123,8055.4340551160585
141,L5_PT,Cdh20,0.0,0.0,4.43276702095291,5948.951159691398
142,L5_PT,Bcl11b,0.0,0.0,4.332060794372322,10156.923229744621
143,L5_PT,Meis2,0.0,0.0,4.811952403029983,7145.082299410478
144,L5_PT,Trpc4,0.0,0.0,3.6020210168471087,2895.9271698766756
145,L6_CT,Ano4,0.0,0.0,4.378298228485031,6027.865579845883
146,L6_CT,Tac2,0.0,0.0,6.684355474796022,1421.6704737200985
147,L6_CT,Syt6,0.0,0.0,2.3030970621666733,7081.051266528722
148,L6_CT,Slc17a7,0.0,0.0,9.454276672469922,21605.366464883777
149,L6_CT,Sema5a,0.0,0.0,2.883458925211845,6076.501055153046
150,L6_CT,Satb2,0.0,0.0,6.536729156108682,23088.1897280012
151,L6_CT,Rnf152,0.0,0.0,3.0201321710647444,4481.021480142607
152,L6_CT,Rgs6,0.0,0.0,6.249597821665058,12216.760958061705
153,L6_CT,Rab3b,0.0,0.0,7.582379701437063,2689.8519317664422
154,L6_CT,Pvalb,0.0,0.0,6.756693069771963,1748.4185394562287
155,L6_CT,Igfbp5,0.0,0.0,7.364940309429239,24251.72331341935
156,L6_CT,Igfbp4,0.0,0.0,4.47428050551336,7424.547296883245
157,L6_CT,Grm8,0.0,0.0,4.5018438978453705,6481.566212336048
158,L6_CT,Gad2,0.0,0.0,8.11323845882878,4278.066672777633
159,L6_CT,Foxp2,0.0,0.0,2.222380356726151,4912.752523220351
160,L6_CT,Fezf2,0.0,0.0,3.095570054559137,4383.213142950214
161,L6_CT,Epha7,0.0,0.0,5.164673535487128,6529.231694724461
162,L6_CT,Bcl11b,0.0,0.0,4.332060794372322,10156.923229744621
163,L6_CT,Penk,0.0,0.0,6.170282774826138,1135.986996490147
164,L6_CT,Wipf3,0.0,0.0,7.091402494733177,28773.638538092193
165,L6_CT,Vip,6.507761948173685e-110,8.26485767418058e-108,7.769146904840319,2975.5534469317986
166,L6_IT,Bcl11b,0.0,0.0,4.332060794372322,10156.923229744621
167,L6_IT,Tenm3,0.0,0.0,5.620546275838911,10128.173393414283
168,L6_IT,Tac2,0.0,0.0,6.684355474796022,1421.6704737200985
169,L6_IT,Syndig1,0.0,0.0,5.54614907175225,9563.14195599889
170,L6_IT,Slc30a3,0.0,0.0,5.943245743965583,24946.69162543843
171,L6_IT,Slc17a7,0.0,0.0,9.454276672469922,21605.366464883777
172,L6_IT,Shisa9,0.0,0.0,5.8917551769122705,9289.695942429238
173,L6_IT,Satb2,0.0,0.0,6.536729156108682,23088.1897280012
174,L6_IT,Rgs6,0.0,0.0,6.249597821665058,12216.760958061705
175,L6_IT,Rab3b,0.0,0.0,7.582379701437063,2689.8519317664422
176,L6_IT,Wipf3,0.0,0.0,7.091402494733177,28773.638538092193
177,L6_IT,Ptprt,0.0,0.0,6.993373561602484,20665.325454992864
178,L6_IT,Ptprk,0.0,0.0,5.910188869560698,11589.004628684517
179,L6_IT,Penk,0.0,0.0,6.170282774826138,1135.986996490147
180,L6_IT,Ntng2,0.0,0.0,4.471516876492884,5156.324102700621
181,L6_IT,Igfbp5,0.0,0.0,7.364940309429239,24251.72331341935
182,L6_IT,Grm8,0.0,0.0,4.5018438978453705,6481.566212336048
183,L6_IT,Gad2,0.0,0.0,8.11323845882878,4278.066672777633
184,L6_IT,Epha7,0.0,0.0,5.164673535487128,6529.231694724461
185,L6_IT,C1ql3,0.0,0.0,4.851254089825852,11130.318106473964
186,L6_IT,Ptpru,0.0,0.0,3.666147918341713,5579.356901018134
187,L6_IT,Pvalb,4.160044970947464e-71,5.283257113103279e-69,6.756693069771963,1748.4185394562287
188,L6_IT,Vip,1.783187941069187e-70,2.2646486851578677e-68,7.769146904840319,2975.5534469317986
189,L6_IT_Car3,Olfm3,0.0,0.0,2.773160893014041,1966.7731229093256
190,L6_IT_Car3,Sema5a,0.0,0.0,2.883458925211845,6076.501055153046
191,L6_IT_Car3,Satb2,0.0,0.0,6.536729156108682,23088.1897280012
192,L6_IT_Car3,Tenm3,0.0,0.0,5.620546275838911,10128.173393414283
193,L6_IT_Car3,Ptpru,0.0,0.0,3.666147918341713,5579.356901018134
194,L6_IT_Car3,Ptprt,0.0,0.0,6.993373561602484,20665.325454992864
195,L6_IT_Car3,Ptprk,0.0,0.0,5.910188869560698,11589.004628684517
