"","x"
"LS-15533_S41_E12-50",16
"LS-15533_S42_E12-50",16
"LS-15533_S43_E12-50",21
"LS-15533_S44_E12-50",22
"LS-15533_S45_E12-50",9
"LS-15533_S46_E12-50",19
"LS-15533_S47_E12-50",24
"LS-15533_S48_E12-50",19
"LS-15534_S01_E12-50",34
"LS-15534_S02_E12-50",37
"LS-15534_S03_E12-50",34
"LS-15534_S04_E12-50",37
"LS-15534_S05_E12-50",37
"LS-15534_S06_E12-50",37
"LS-15534_S07_E12-50",37
"LS-15534_S08_E12-50",35
"LS-15534_S09_E12-50",37
"LS-15534_S10_E12-50",34
"LS-15534_S11_E12-50",35
"LS-15534_S12_E12-50",37
"LS-15534_S13_E12-50",37
"LS-15534_S14_E12-50",34
"LS-15534_S65_E12-50",24
"LS-15534_S66_E12-50",25
"LS-15534_S67_E12-50",19
"LS-15534_S68_E12-50",22
"LS-15534_S69_E12-50",4
"LS-15534_S70_E12-50",6
"LS-15534_S71_E12-50",22
"LS-15534_S72_E12-50",16
"LS-15534_S73_E12-50",5
"LS-15534_S74_E12-50",6
"LS-15534_S75_E12-50",6
"LS-15534_S76_E12-50",19
"LS-15534_S77_E12-50",5
"LS-15534_S78_E12-50",19
"LS-15534_S79_E12-50",23
"LS-15534_S80_E12-50",4
"LS-15534_S89_E12-50",16
"LS-15534_S90_E12-50",22
"LS-15534_S91_E12-50",24
"LS-15534_S94_E12-50",5
"LS-15534_S95_E12-50",22
"LS-15534_S96_E12-50",22
"LS-15538_S01_E1-50",10
"LS-15538_S02_E1-50",9
"LS-15538_S03_E1-50",9
"LS-15538_S04_E1-50",4
"LS-15538_S05_E1-50",17
"LS-15538_S06_E1-50",21
"LS-15538_S07_E1-50",11
"LS-15538_S08_E1-50",11
"LS-15538_S09_E1-50",7
"LS-15538_S10_E1-50",21
"LS-15538_S11_E1-50",4
"LS-15538_S12_E1-50",15
"LS-15538_S13_E1-50",15
"LS-15538_S14_E1-50",4
"LS-15538_S15_E1-50",9
"LS-15538_S16_E1-50",1
"LS-15538_S25_E1-50",4
"LS-15538_S26_E1-50",17
"LS-15538_S27_E1-50",21
"LS-15538_S28_E1-50",15
"LS-15538_S30_E1-50",9
"LS-15538_S31_E1-50",7
"LS-15538_S32_E1-50",11
"LS-15538_S33_E1-50",24
"LS-15538_S34_E1-50",19
"LS-15538_S35_E1-50",15
"LS-15538_S36_E1-50",23
"LS-15538_S37_E1-50",4
"LS-15538_S38_E1-50",19
"LS-15538_S39_E1-50",19
"LS-15538_S41_E1-50",24
"LS-15538_S42_E1-50",19
"LS-15538_S43_E1-50",22
"LS-15538_S44_E1-50",24
"LS-15538_S45_E1-50",22
"LS-15538_S46_E1-50",25
"LS-15538_S47_E1-50",15
"LS-15538_S48_E1-50",19
"LS-15538_S49_E1-50",6
"LS-15538_S50_E1-50",9
"LS-15538_S51_E1-50",19
"LS-15538_S52_E1-50",19
"LS-15538_S53_E1-50",24
"LS-15538_S54_E1-50",20
"LS-15538_S55_E1-50",20
"LS-15538_S81_E1-50",22
"LS-15538_S83_E1-50",25
"LS-15538_S84_E1-50",13
"LS-15538_S85_E1-50",5
"LS-15538_S86_E1-50",15
"LS-15538_S87_E1-50",24
"LS-15538_S88_E1-50",19
"LS-15538_S89_E1-50",19
"LS-15538_S90_E1-50",13
"LS-15538_S91_E1-50",22
"LS-15538_S92_E1-50",19
"LS-15538_S94_E1-50",26
"LS-15538_S95_E1-50",22
"LS-15538_S96_E1-50",16
"SM-D9CZT_S01_E1-50",34
"SM-D9CZT_S03_E1-50",62
"SM-D9CZT_S04_E1-50",35
"SM-D9CZT_S05_E1-50",33
"SM-D9CZT_S06_E1-50",33
"SM-D9CZT_S07_E1-50",40
"SM-D9CZT_S08_E1-50",33
"SM-D9D6R_S01_E1-50",42
"SM-D9D6R_S02_E1-50",48
"SM-D9D6R_S03_E1-50",6
"SM-D9D6R_S04_E1-50",48
"SM-D9D6R_S05_E1-50",4
"SM-D9D6R_S06_E1-50",46
"SM-D9D6R_S07_E1-50",48
"SM-D9D6R_S08_E1-50",48
"SM-D9D6R_S09_E1-50",48
"SM-D9D6R_S10_E1-50",48
