,index,transcript_name,p_raw,p_bonferroni
470,L5/6 NP,Dbnl-203_ENSMUST00000109845,1.9220402105163853e-07,0.00664756827209197
471,L5/6 NP,Fgd4-207_ENSMUST00000162045,2.316696377844457e-07,0.008012526092412839
472,L5/6 NP,Pnck-203_ENSMUST00000114473,2.498604701585185e-07,0.00864167422090252
473,L5/6 NP,Hacd1-204_ENSMUST00000131730,2.5295818059774636e-07,0.008748811634153655
474,L5/6 NP,Chn1-202_ENSMUST00000102677,2.586287838395553e-07,0.00894493511787486
475,L5/6 NP,Lyrm2-201_ENSMUST00000062802,2.8647648208734117e-07,0.009908075609472782
476,L5/6 NP,Bcl7b-201_ENSMUST00000031692,2.8656734694834313e-07,0.009911218261555395
477,L6 CT,Grin2b-205_ENSMUST00000152012,2.645791983929864e-82,9.150736155619827e-78
478,L6 CT,Tfcp2-205_ENSMUST00000230039,5.676809654729161e-42,1.9633813871846277e-37
479,L6 CT,Mrpl13-204_ENSMUST00000170135,8.047649564821205e-40,2.783360078489062e-35
480,L6 CT,Mrpl20-202_ENSMUST00000130188,1.656132709567365e-29,5.727900589309688e-25
481,L6 CT,Gapdh-201_ENSMUST00000073605,4.689101411185546e-22,1.621772614072633e-17
482,L6 CT,Map4-206_ENSMUST00000169851,6.130030471365589e-22,2.1201323388265025e-17
483,L6 CT,Eif4a2-204_ENSMUST00000123413,3.1862574867361464e-21,1.1019990143625636e-16
484,L6 CT,Clk1-210_ENSMUST00000148330,6.230240023138248e-20,2.1547908144025944e-15
485,L6 CT,Sumf2-204_ENSMUST00000171300,2.1930652026744543e-18,7.584935309969867e-14
486,L6 CT,Uba2-210_ENSMUST00000206651,4.1436471208823344e-18,1.433121793228364e-13
487,L6 CT,Trappc13-205_ENSMUST00000144060,1.5315238991476658e-17,5.296928557592117e-13
488,L6 CT,Brms1l-204_ENSMUST00000219337,3.3237389093633293e-16,1.149548339192401e-11
489,L6 CT,Lamtor4-201_ENSMUST00000062067,5.919523587802303e-16,2.0473264280773045e-11
490,L6 CT,Rab6a-203_ENSMUST00000107048,1.3597153272429187e-15,4.7027114308023584e-11
491,L6 CT,Gon4l-205_ENSMUST00000212694,3.626188278621524e-15,1.2541534780440404e-10
492,L6 CT,Snu13-204_ENSMUST00000230953,3.7827487517197156e-15,1.308301483269781e-10
493,L6 CT,Map4-207_ENSMUST00000196729,6.925027623640924e-15,2.39509005391245e-10
494,L6 CT,Rps14-205_ENSMUST00000137400,1.4751505407910196e-14,5.101955660379821e-10
495,L6 CT,Clk1-212_ENSMUST00000156931,2.616726596829808e-14,9.050210607795574e-10
496,L6 CT,Ndufab1-210_ENSMUST00000153173,3.17242363809587e-14,1.0972144394718376e-09
497,L6 CT,Slbp-202_ENSMUST00000075670,8.551468476815565e-14,2.9576108873914315e-09
498,L6 CT,Timm22-201_ENSMUST00000021203,1.9218672157974543e-13,6.646969952557075e-09
499,L6 CT,Clk1-204_ENSMUST00000129577,3.141213521416739e-13,1.0864201085171934e-08
500,L6 CT,Nap1l1-205_ENSMUST00000219143,1.349962269686764e-12,4.668979505938642e-08
501,L6 CT,Gapdh-206_ENSMUST00000147954,2.6066727023773815e-12,9.015438208442412e-08
502,L6 CT,Rplp0-204_ENSMUST00000156359,2.6708931162126123e-12,9.23755093173294e-08
503,L6 CT,Rundc3a-201_ENSMUST00000006750,3.5964654186783228e-12,1.2438735297040848e-07
504,L6 CT,Mtx1-217_ENSMUST00000174218,4.872170737768425e-12,1.6850889713645874e-07
505,L6 CT,Ak6-205_ENSMUST00000190729,1.144705532523364e-11,3.959078554785307e-07
506,L6 CT,Tnrc6c-202_ENSMUST00000106344,1.2700394054149104e-11,4.392558287568009e-07
507,L6 CT,Rps2-208_ENSMUST00000170715,2.0633825428437583e-11,7.136414862679422e-07
508,L6 CT,Gpx4-207_ENSMUST00000183037,2.1688208700133956e-11,7.50108386102833e-07
509,L6 CT,Iffo1-204_ENSMUST00000139071,2.465756397467664e-11,8.528065076281662e-07
510,L6 CT,Nedd8-202_ENSMUST00000163750,3.283112106148566e-11,1.135497153032543e-06
511,L6 CT,Eif4a2-210_ENSMUST00000131871,4.0556479794457486e-11,1.4026864101711066e-06
512,L6 CT,Calm3-202_ENSMUST00000172594,6.031753547871072e-11,2.0861422820666887e-06
513,L6 CT,Pfdn4-204_ENSMUST00000109148,6.778382727071355e-11,2.3443714499848986e-06
514,L6 CT,Washc4-201_ENSMUST00000038388,1.1005817055686623e-10,3.8064718868797756e-06
515,L6 CT,Ube2d3-201_ENSMUST00000106291,1.2011496251438595e-10,4.154296093522553e-06
516,L6 CT,Rpl34-202_ENSMUST00000079085,1.4797510545416602e-10,5.117866997237786e-06
517,L6 CT,Tmem160-202_ENSMUST00000209536,1.5280504636971146e-10,5.284915333742841e-06
518,L6 CT,Phyhipl-206_ENSMUST00000162251,1.9436142274729763e-10,6.7221841671380355e-06
519,L6 CT,Sub1-203_ENSMUST00000129533,2.1687729685240282e-10,7.500918188937204e-06
520,L6 CT,Ndufa4-201_ENSMUST00000031637,2.674781864156013e-10,9.251000555369986e-06
521,L6 CT,Mcts1-203_ENSMUST00000134573,4.036171677135456e-10,1.3959503362540688e-05
522,L6 CT,Ufsp2-201_ENSMUST00000034051,4.104374830691082e-10,1.4195390789428177e-05
523,L6 CT,Cdkl5-205_ENSMUST00000198931,5.732698842355555e-10,1.982711221617092e-05
524,L6 CT,Mrps36-203_ENSMUST00000109333,7.174309990286923e-10,2.4813068532406354e-05
525,L6 CT,Cttn-201_ENSMUST00000033407,7.803167036043514e-10,2.6988033510860095e-05
526,L6 CT,Bag1-201_ENSMUST00000030125,1.6817030086149054e-09,5.816338025595512e-05
527,L6 CT,Nell2-202_ENSMUST00000166170,1.975713016007645e-09,6.83320103716404e-05
528,L6 CT,Rbbp7-203_ENSMUST00000112327,1.983750873097691e-09,6.861000769695674e-05
529,L6 CT,Psmd1-201_ENSMUST00000027432,2.686453234733948e-09,9.291367157650834e-05
530,L6 CT,Exosc4-201_ENSMUST00000059045,3.0810500262015425e-09,0.00010656119620620655
531,L6 CT,Rbm42-202_ENSMUST00000108141,4.2124398783541445e-09,0.00014569144563275643
532,L6 CT,Btf3l4-202_ENSMUST00000102740,5.715686596269328e-09,0.00019768273661857096
533,L6 CT,Tmco1-203_ENSMUST00000193446,5.9370288334390366e-09,0.00020533807923332252
534,L6 CT,Ptp4a1-201_ENSMUST00000027232,6.939019999354519e-09,0.00023999294569767538
535,L6 CT,Faim2-203_ENSMUST00000230603,7.174859539640763e-09,0.0002481496920380154
536,L6 CT,Serp2-202_ENSMUST00000227076,7.754697261619324e-09,0.00026820395949036596
537,L6 CT,Selenok-203_ENSMUST00000223998,7.92377583766662e-09,0.0002740517111215377
538,L6 CT,Ccdc62-206_ENSMUST00000197673,8.322967101088411e-09,0.0002878581401582438
539,L6 CT,Map1lc3b-201_ENSMUST00000034270,1.2242216012683328e-08,0.0004234092830146656
540,L6 CT,Rmdn1-202_ENSMUST00000108253,1.3205310689311804e-08,0.00045671887550053806
541,L6 CT,Rps19-210_ENSMUST00000156372,1.623492606174729e-08,0.0005615011527715918
542,L6 CT,Edf1-201_ENSMUST00000015236,1.789338546376678e-08,0.000618860629649838
543,L6 CT,Ube2n-204_ENSMUST00000219741,1.8553451517170407e-08,0.0006416896741728558
544,L6 CT,Zfp410-206_ENSMUST00000221656,1.8807923341757185e-08,0.000650490836698014
545,L6 CT,Zfand5-201_ENSMUST00000025659,2.4503715118230044e-08,0.0008474854910791043
546,L6 CT,Hectd4-201_ENSMUST00000042614,2.475031958992676e-08,0.0008560145533372069
547,L6 CT,Ewsr1-202_ENSMUST00000073308,2.8027401320877387e-08,0.0009693557020838653
548,L6 CT,Napa-206_ENSMUST00000140640,3.098894291835376e-08,0.001071783579774183
549,L6 CT,Nedd8-204_ENSMUST00000227250,3.4583420078995266e-08,0.0011961021668521303
550,L6 CT,Spock2-201_ENSMUST00000121820,3.5051827431518516e-08,0.0012123025035464994
551,L6 CT,March2-203_ENSMUST00000172767,4.4599043099667473e-08,0.0015425025046450992
552,L6 CT,Ero1lb-203_ENSMUST00000221560,5.891292411385615e-08,0.002037562393401829
553,L6 CT,Ndufa5-204_ENSMUST00000141274,6.776217582607588e-08,0.00234362261312066
554,L6 CT,Rtf1-201_ENSMUST00000028767,6.999538625667859e-08,0.0024208604290734854
555,L6 CT,Emc10-202_ENSMUST00000118808,7.227422729807631e-08,0.0024996764253312673
556,L6 CT,Senp7-211_ENSMUST00000202000,8.567895779635744e-08,0.0029632924343448185
557,L6 CT,Tmem254c-202_ENSMUST00000100819,8.651359348562738e-08,0.0029921591442939087
558,L6 CT,Fkbp2-201_ENSMUST00000070878,9.672098546389575e-08,0.003345192003254298
559,L6 CT,Isca1-201_ENSMUST00000057115,9.761623937694984e-08,0.0033761552550911874
560,L6 CT,Xrn1-205_ENSMUST00000187359,1.1310221625721744e-07,0.003911753251472122
561,L6 CT,Tmem147-207_ENSMUST00000209065,1.1409715029816234e-07,0.003946164040212243
562,L6 CT,Atp6v0a1-201_ENSMUST00000044721,1.1563108384371478e-07,0.0039992166658187195
563,L6 CT,Ndufs6-201_ENSMUST00000022097,1.313808779415817e-07,0.004543939044487545
564,L6 CT,Hpca-201_ENSMUST00000030572,1.4876137113778305e-07,0.005145060782171365
565,L6 CT,Vcp-201_ENSMUST00000030164,1.4981216443638773e-07,0.005181403519196906
566,L6 CT,Cnbd2-201_ENSMUST00000037096,1.5056688611840164e-07,0.005207506323291039
567,L6 CT,Ufc1-201_ENSMUST00000080001,1.5381364565146721e-07,0.005319798748501645
568,L6 CT,Bud31-207_ENSMUST00000162594,1.575627180494033e-07,0.005449464166456663
569,L6 CT,Vps35-201_ENSMUST00000034131,1.6356937048747367e-07,0.005657210247679765
570,L6 CT,Erp29-202_ENSMUST00000111802,1.7702691725002986e-07,0.006122652960009533
571,L6 CT,Oaz1-204_ENSMUST00000179341,1.9186462256833654e-07,0.0066358298361484875
572,L6 CT,Scn2b-201_ENSMUST00000093855,1.954781864361434e-07,0.006760808556080455
573,L6 CT,March6-202_ENSMUST00000226207,2.1724812052931825e-07,0.007513743496627001
574,L6 CT,Tmed2-203_ENSMUST00000135464,2.2091234060258234e-07,0.007640474212080913
575,L6 CT,Trappc1-203_ENSMUST00000102602,2.3662983361058566e-07,0.008184079425255715
576,L6 CT,Sec11c-201_ENSMUST00000025394,2.4633657562240313e-07,0.008519796804476435
577,L6 CT,Cluap1-201_ENSMUST00000040881,2.762894227648846e-07,0.009555745975746299
578,L6 IT,Pacsin1-202_ENSMUST00000097360,7.716312336483803e-46,2.668763784696288e-41
